	寒山落木　卷一
剖葦の聲の嵐や捨小舟	寒山落木　卷一
よしきりの聲につゝこむ小舟哉	寒山落木　卷一
靜かさに地をすつてとぶ螢かな	寒山落木　卷一
淋しさにころげて見るや蝉の殼	寒山落木　卷一
さかしまに殘る力や蝉のから	寒山落木　卷一
晝の蚊やぐつとくひ入る一思ひ	寒山落木　卷一
時鳥御目はさめて候か	寒山落木　卷一
松の木にすうと入りけり閑子鳥	寒山落木　卷一
しん／＼と泉わきけり閑子鳥	寒山落木　卷一
ちい／＼と絶え入る聲や練雲雀	寒山落木　卷一
時鳥鳴くやどこぞに晝の月	寒山落木　卷一
時鳥不二の雪まだ六合目	寒山落木　卷一
時鳥上野を戻る車の音	寒山落木　卷一
蝙蝠や又束髮のまぎれ行く	寒山落木　卷一
【義安寺】	寒山落木　卷一
門に螢逃げこむしまり哉	寒山落木　卷一
杉谷や山三方にほとゝぎす	寒山落木　卷一
新場処や紙つきやめばなく水	寒山落木　卷一
【聖徳太子碑】	寒山落木　卷一
いしぶみの跡に啼けり閑子鳥	寒山落木　卷一
【惠原】	寒山落木　卷一
宵月や蝙蝠つかむ豆狸	寒山落木　卷一
時鳥けふは聾の婆一人	寒山落木　卷一
初松魚引さげて行く兎唇哉	寒山落木　卷一
なめくぢの梦見てぬぐや蛇の皮	寒山落木　卷一
島原や草の中なる時鳥	寒山落木　卷一
足六つ不足もなしに蝉の殼	寒山落木　卷一
此頃の牡丹の天や時鳥	寒山落木　卷一
此頃は居らなくなりぬ蝸牛	寒山落木　卷一
行列の空よこぎるや時鳥	寒山落木　卷一
【乞食】	寒山落木　卷一
ひだるさに寐られぬ夜半や鵑	寒山落木　卷一
燒けしぬるおのが思ひや灯取虫	寒山落木　卷一
見ン事に命すてけり初松魚	寒山落木　卷一
郭公太閤樣をぢらしけり	寒山落木　卷一
蝙蝠やぬす人屋敷塀もなし	寒山落木　卷一
頬杖の鐵扇いたし時鳥	寒山落木　卷一
幾人の命とりけんほとゝきす	寒山落木　卷一
飛び／＼に闇を縫ひけり時鳥	寒山落木　卷一
あはれさやらんぷを辷る灯取虫	寒山落木　卷一
九段阪魂祭るころの時鳥	寒山落木　卷一
一聲や捨子の上の時鳥	寒山落木　卷一
子になつて浮巣は月に流れけり	寒山落木　卷一
宵闇や月を吐き出す蟇の口	寒山落木　卷一
鰹くふ人にもあらす松魚賣	寒山落木　卷一
螢から螢へ風のうつりけり	寒山落木　卷一
吹き亂す花の中より子規	寒山落木　卷一
茄子にも瓜にもつかず時鳥	寒山落木　卷一
花も月も見しらぬ蝉のかしましき	寒山落木　卷一
大釜の底をはひけり蝸牛	寒山落木　卷一
蝙蝠や闇を尋ねていそがしき	寒山落木　卷一
古壁の隅に動かずはらみ蜘	寒山落木　卷一
孑孑の藪蚊見送る別れ哉	寒山落木　卷一
時鳥右の耳より左より	寒山落木　卷一
挑灯の次第に遠し時鳥	寒山落木　卷一
蚊の聲は床のあやめに群れにけり	寒山落木　卷一
蠅逃げて馬より牛にうつりけり	寒山落木　卷一
大螢ふわ／＼として風低し	寒山落木　卷一
行燈の丁子よあすは初松魚	寒山落木　卷一
夏植物	寒山落木　卷一
【美人圖】	寒山落木　卷一
抱起す手に紫陽花のこほれけり	寒山落木　卷一
【悼亡】	寒山落木　卷一
葉櫻とよびかへられしさくら哉	寒山落木　卷一
燕や白壁見えて麥の秋	寒山落木　卷一
葉さくらや折殘されて一茂り	寒山落木　卷一
卯の花に雲のはなれし夜明哉	寒山落木　卷一
植木屋の門口狹き牡丹哉	寒山落木　卷一
淀川や一すぢ引て燕子花	寒山落木　卷一
金箱のうなりに開く牡丹哉	寒山落木　卷一
たそかれや御馬先の杜若	寒山落木　卷一
つる／＼と水玉のぼる早苗哉	寒山落木　卷一
白牡丹ある夜の月に崩れけり	寒山落木　卷一
竹の子にかならずや根の一くねり	寒山落木　卷一
板繪馬のごふんはげたり夏木立	寒山落木　卷一
若竹や雀たわめてつくは山	寒山落木　卷一
けしの花餘り坊主になり易き	寒山落木　卷一
卯の花にかくるゝ庵の夜明哉	寒山落木　卷一
初瓜やまだこびりつく花の形	寒山落木　卷一
【青桐虚子同寫の寫眞に題す】	寒山落木　卷一
思ひよる姿やあやめかきつはた	寒山落木　卷一
麥わらの帽子に杉の落は哉	寒山落木　卷一
岩陰や水にかたよる椎のはな	寒山落木　卷一
咲てから又撫し子のやせにけり	寒山落木　卷一
おしあふて又卯の花の咲きこぼれ	寒山落木　卷一
鼓鳴る能樂堂の若葉かな	寒山落木　卷一
【送別】	寒山落木　卷一
手ばなせは又萍の流れけり	寒山落木　卷一
【ある人の山路にて強盜に逢ひたるに】	寒山落木　卷一
卯の花に白波さわぐ山路哉	寒山落木　卷一
なてし子のこげて其まゝ咲にけり	寒山落木　卷一
撫し子を横にくはへし野馬哉	寒山落木　卷一
なてしこの小石ましりに咲にけり	寒山落木　卷一
撫子を折る旅人もなかりけり	寒山落木　卷一
ひるに雨のあとなき砂路哉	寒山落木　卷一
すてられて又さく花や杜若	寒山落木　卷一
藻を刈るや螢はひ出る舟の端一作藻を刈てはひでる舟の螢哉	寒山落木　卷一
紫陽花や花さき重り垂れ重り	寒山落木　卷一
押あけてあぢさいこぼす戸びら哉	寒山落木　卷一
あぢさいや一かたまりの露の音	寒山落木　卷一
車道にそふて咲けりけしの花	寒山落木　卷一
石菖に雫の白し初月夜	寒山落木　卷一
晝の物干竿を上りけり	寒山落木　卷一
萍の茨の枝にかゝりけり	寒山落木　卷一
萍に乘てながるゝ小海老哉	寒山落木　卷一
萍の心まかせに流れけり	寒山落木　卷一
を如何	寒山落木　卷一
萍に思ふことなき早瀬かな	寒山落木　卷一
浮草を上へ／＼と嵐哉	寒山落木　卷一
うき草の月とほりこす流哉	寒山落木　卷一
河骨にわりなき莖の太さ哉	寒山落木　卷一
玉卷の葛や裏葉のちなみもまだ	寒山落木　卷一
河骨の横にながれて咲にけり	寒山落木　卷一
白蓮の中に灯ともす青さ哉	寒山落木　卷一
紫陽花にあやしき蝶のはなだ哉	寒山落木　卷一
あぢさいや神の灯深き竹の奧	寒山落木　卷一
花の皆青梅になる若木かな	寒山落木　卷一
青梅の落て拾はぬあき家哉	寒山落木　卷一
筍やずんずとのびて藪の上	寒山落木　卷一
重イ	寒山落木　卷一
筍はまだ根ばかりの太さかな	寒山落木　卷一
竹の子や隣としらぬはえ處	寒山落木　卷一
のせて見て團扇に重しまくわ瓜	寒山落木　卷一
ほき／＼と筍ならぶすごさ哉	寒山落木　卷一
うれしけに犬の走るや麥の秋	寒山落木　卷一
麥秋や庄屋の娵の日傘	寒山落木　卷一
麥の秋あから／＼と日はくれぬ	寒山落木　卷一
紫蘇はかり薄紫のあき家哉	寒山落木　卷一
冷瓜浪のかしらにほかん／＼	寒山落木　卷一
なでしこにざうとこけたり竹釣瓶	寒山落木　卷一
井戸端に妹が撫し子あれにけり	寒山落木　卷一
引はれば沈む蓮のうき葉かな	寒山落木　卷一
夏菊や旅人やせる木曾の宿一作夏菊や木曾の旅人やせにけり	寒山落木　卷一
【關原】	寒山落木　卷一
誰が魂の梦をさくらん合歡の花	寒山落木　卷一
不破の關桑とる女こととはん春季	寒山落木　卷一
苗の色美濃も尾張も一ツかな	寒山落木　卷一
清姫か涙の玉や蛇いちご	寒山落木　卷一
晝の眞ツ晝中を開きけり	寒山落木　卷一
一本の葵や虻ののぼりおり	寒山落木　卷一
鎌倉は村とよばるゝ青葉かな	寒山落木　卷一
姫百合に飯こぼす垣根かな	寒山落木　卷一
【賀山本氏卒業】	寒山落木　卷一
すゝしさイ	寒山落木　卷一
うるはしや竹の子竹になりおふせ	寒山落木　卷一
痩馬もいさむ朝日の青葉かな	寒山落木　卷一
夕に行脚の僧をとゞめけり	寒山落木　卷一
【偸盜戒】	寒山落木　卷一
瓜盜むこともわすれて涼みけり	寒山落木　卷一
夕立にふりまじりたる李かな	寒山落木　卷一
瓜一ツだけば鳴きやむ赤子かな	寒山落木　卷一
心見に雀とまれや今年竹	寒山落木　卷一
旱さへ瓜に痩せたるふりもなし	寒山落木　卷一
一ツ葉の水鉢かくす茂り哉	寒山落木　卷一
雲の峰の麓に一人牛房引	寒山落木　卷一
涼しさやくるり／＼と冷し瓜	寒山落木　卷一
瓜持て片手にまねく子供哉	寒山落木　卷一
棉の花葵に似るも哀れなり	寒山落木　卷一
【岡山徳島等洪水】	寒山落木　卷一
泥水に夕の花よごれけり	寒山落木　卷一
一つらに藤の實なびく嵐哉	寒山落木　卷一
古池や蓮より外に草もなし	寒山落木　卷一
入相にすぼまる寺のはちす哉	寒山落木　卷一
【不忍池】	寒山落木　卷一
桃色は辨天樣のはちすかな	寒山落木　卷一
隱れ家に夏も藜の紅葉哉	寒山落木　卷一
老がはで藜の杖に殘しけり	寒山落木　卷一
箒木にまじりて青き藜哉	寒山落木　卷一
イ	寒山落木　卷一
尼寺に眞白ばかりの蓮哉	寒山落木　卷一
咲立つて小池のせまき蓮哉	寒山落木　卷一
ぐるりからくろはひ上る南瓜哉	寒山落木　卷一
浦嶋草さくやこじきも家持て	寒山落木　卷一
【牛淵村にて諸友と互に別るゝ時】	寒山落木　卷一
茄子南瓜小道／＼の別れ哉	寒山落木　卷一
茗荷よりかしこさうなり茗荷の子	寒山落木　卷一
藺の花の葉末にさかぬ風情哉	寒山落木　卷一
栗の花筧の水の細りけり	寒山落木　卷一
風蘭や岩をつかんでのんだ松	寒山落木　卷一
蓮の露ころかる度にふとりけり	寒山落木　卷一
【画賛】	寒山落木　卷一
討死の甲に匂ふあやめかな	寒山落木　卷一
【墨画賛】	寒山落木　卷一
此頃は薄墨になりぬ百日白	寒山落木　卷一
青天に咲きひろげゝり百日紅	寒山落木　卷一
白砂に熊手の波やちり松葉	寒山落木　卷一
花一つ／＼風持つ牡丹哉	寒山落木　卷一
萍や出どこも知らず果もなし	寒山落木　卷一
藻の花や小川に沈む鍋のつる	寒山落木　卷一
卯の花や月夜となればこぼれ立つ	寒山落木　卷一
百合や水迸る龍の口	寒山落木　卷一
夕顏や闇吹き入れる三日の月	寒山落木　卷一
にまぶれて白し	寒山落木　卷一
卯の花に不二ゆりこぼす峠哉	寒山落木　卷一
【三阪】	寒山落木　卷一
旅人の歌上りゆく若葉哉	寒山落木　卷一
宵月や牛くひ殘す花茨	寒山落木　卷一
葉櫻の上野は闇となりにけり	寒山落木　卷一
葉柳の五本はあまる庵哉	寒山落木　卷一
夕顏は画にかいてさへあはれなり	寒山落木　卷一
夕顏や膝行車を立てさせて	寒山落木　卷一
【戀】	寒山落木　卷一
卯の花の宿とばかりもことづてん	寒山落木　卷一
【戀】	寒山落木　卷一
うつむいた恨みはやさし百合の花	寒山落木　卷一
窓かけや朧に匂ふ花いばら	寒山落木　卷一
【立花口】	寒山落木　卷一
絶間より人馬の通ふ若葉哉	寒山落木　卷一
萍の杭に一日のいのちかな	寒山落木　卷一
生きてゐるやうに動くや蓮の露	寒山落木　卷一
紫陽花に淺黄の闇は見えにけり	寒山落木　卷一
夕かほのやみもの凄き裸かな	寒山落木　卷一
白過ぎてあはれ少し蓮の花	寒山落木　卷一
白水の押し出す背戸や杜若	寒山落木　卷一
いわけなう日うらの白き胡瓜哉	寒山落木　卷一
凌霄や煉瓦造りの共うつり	寒山落木　卷一
浮草をうねりよせたるさ波哉	寒山落木　卷一
開いても開いてもちるけしの花	寒山落木　卷一
重たさを首で垂れけりゆりの花	寒山落木　卷一
傘はいる若葉の底の家居哉	寒山落木　卷一
廿五年秋時候人事	寒山落木　卷一
すくむや	寒山落木　卷一
鷄の塒に小さし秋のくれ	寒山落木　卷一
燈籠としらずに來たり灯取虫	寒山落木　卷一
ぬすんたる瓜や乞食の玉まつり	寒山落木　卷一
箒星障子にひかる夜寒哉	寒山落木　卷一
秋たつや鶉の聲の一二寸	寒山落木　卷一
何げなく引けと鳴子のすさましき	寒山落木　卷一
旅人を追かけてひく鳴子哉	寒山落木　卷一
稻妻にひとゆりゆれる鳴子かな	寒山落木　卷一
烏帽子着て送り火たくや白拍子	寒山落木　卷一
引けば引くものよ一日鳴子引	寒山落木　卷一
思ひ出し／＼ひく鳴子哉	寒山落木　卷一
ひとりゆれひとり驚く鳴子かな	寒山落木　卷一
どこやらに稻妻はしる燈籠哉	寒山落木　卷一
稻妻に燈籠の火のあばきかな	寒山落木　卷一
家根の上にどこの哀れぞ揚燈籠	寒山落木　卷一
よそイやイ	寒山落木　卷一
籔陰を誰がさげて行く燈籠哉	寒山落木　卷一
迎火をもやひにたくや三軒家	寒山落木　卷一
うつくしき燈籠の猶哀れ也	寒山落木　卷一
薄絹に燈籠の火の朧かな	寒山落木　卷一
頓入や納屋をあくれば唐辛子	寒山落木　卷一
文月や神祗釋教戀無常	寒山落木　卷一
【七夕の日布引の瀧を見て】	寒山落木　卷一
布引も願ひの糸の數にせむ	寒山落木　卷一
ぬか星や七夕の子の數しれず	寒山落木　卷一
よもすがら烏もさわげ星祭	寒山落木　卷一
梶の葉を戀のはじめや兄妹	寒山落木　卷一
旅人の扇置なり石の上	寒山落木　卷一
笹につけて扇やかさん女七夕	寒山落木　卷一
杉の木のによつきと高し秋の暮	寒山落木　卷一
日がくれて踊りに出たり生身玉	寒山落木　卷一
曾さへも人は死ぬとや高燈籠	寒山落木　卷一
七夕の橋やくづれてなく鴉	寒山落木　卷一
世の中につれぬ案山子の弓矢哉	寒山落木　卷一
生身玉其又親も達者なり	寒山落木　卷一
水底の亡者やさわぐ施餓鬼舟	寒山落木　卷一
うつくしきものなげこむやせがき舟	寒山落木　卷一
施餓鬼舟向ふの岸はなかりけり	寒山落木　卷一
萩薄一ツになりて花火散る	寒山落木　卷一
花火ちる四階五階のともし哉	寒山落木　卷一
秋寒し蝙蝠傘は杖につく	寒山落木　卷一
過去帳をよみ申さんか魂迎	寒山落木　卷一
猿一ツ笠きて行くや秋の暮	寒山落木　卷一
傘持は秋ともしらす揚屋入	寒山落木　卷一
菅笠の紐引きしめる夜寒哉	寒山落木　卷一
棕櫚の葉の手をひろけたりけさの秋	寒山落木　卷一
送火の煙見上る子どもかな	寒山落木　卷一
【画賛〔二句〕】	寒山落木　卷一
秋さびて太雅の木にも似たる哉	寒山落木　卷一
秋のくれ畫にかいてさへ人もなし	寒山落木　卷一
松二木並んで秋の老にけり	寒山落木　卷一
乞食の錢よむ音の夜寒哉	寒山落木　卷一
乞食の親もありけり玉祭	寒山落木　卷一
八朔やこじきも江戸の生れにて	寒山落木　卷一
乞食の燒食匂ふ殘暑かな	寒山落木　卷一
秋のくれ見ゆる見るふしの山	寒山落木　卷一
繩簾蛇にもならず秋くれぬ	寒山落木　卷一
信州の下女が手打の茶そば哉	寒山落木　卷一
合宿の齒ぎしりひゞく夜寒哉	寒山落木　卷一
ふみつけた蟹の死骸やけさの秋	寒山落木　卷一
親もなき子もなき家の玉まつり	寒山落木　卷一
朝寒やちゞみあがりし衣の皺	寒山落木　卷一
ひらりしやらり一ツ葉ゆれてうそ寒し	寒山落木　卷一
【輕井澤旅亭】	寒山落木　卷一
鼻たれの兄とよばるゝ夜寒哉	寒山落木　卷一
【文科大學遠足會】	寒山落木　卷一
秋しらぬ旅や同行五十人	寒山落木　卷一
雨の夜はおくれ給はん魂迎	寒山落木　卷一
魂送り背戸より歸り給ひけり	寒山落木　卷一
一人旅一人つく／＼夜寒哉	寒山落木　卷一
蚤蝨へつて浪人のうそ寒し	寒山落木　卷一
缺徳利字山田の案山子哉	寒山落木　卷一
送火の何とはなしに灰たまる	寒山落木　卷一
行秋や松茸の笠そりかへる	寒山落木　卷一
茸狩や心細くも山のおく	寒山落木　卷一
人の目の秋にうつるや嵐山	寒山落木　卷一
灯ともせば灯に力なし秋の暮	寒山落木　卷一
見た顏の三つ四つはあり魂祭	寒山落木　卷一
砧よりふしむつかしき鳴子哉	寒山落木　卷一
あら駒の足落ちついて秋の立つ	寒山落木　卷一
燈籠の朧に松の月夜かな	寒山落木　卷一
燈籠の竹にうつろふすごさ哉	寒山落木　卷一
行く秋や松にすがりし蔦紅葉	寒山落木　卷一
行く秋やまばらに見ゆる竹の藪	寒山落木　卷一
試みに案山子の口に笛入れん	寒山落木　卷一
嚊殿に盃さすや菊の酒	寒山落木　卷一
月細り細り盡して秋くれぬ	寒山落木　卷一
宿の菊天長節をしらせばや	寒山落木　卷一
攝待や乞食だきつく石手寺	寒山落木　卷一
【道後】	寒山落木　卷一
傾城の燈籠のぞくや寶嚴寺	寒山落木　卷一
梟や花火のあとの薄曇り	寒山落木　卷一
沙魚釣りの大加賀歸る月夜哉	寒山落木　卷一
【蛇たまり】	寒山落木　卷一
秋立つや芒穗に出る蛇たまり	寒山落木　卷一
【松山鴨川】	寒山落木　卷一
菊形の燒餅くふて節句哉	寒山落木　卷一
行く秋や壁の穴見る藪にらみ	寒山落木　卷一
烏來て鳥居つゝくや秋のくれ	寒山落木　卷一
遊女一人ふえぬ日はなし京の秋	寒山落木　卷一
此頃は旅らしうなる砧かな	寒山落木　卷一
此頃はどうやら悲し秋のくれ	寒山落木　卷一
袖なくてうき洋服の踊り哉	寒山落木　卷一
何としたわれの命そ秋の暮	寒山落木　卷一
辨慶の道具しらべる夜長哉	寒山落木　卷一
君が代は案山子に殘る弓矢哉	寒山落木　卷一
行く秋を奇麗にそめし紅葉哉	寒山落木　卷一
行く秋の闇にもならず星月夜	寒山落木　卷一
傾城に電話をかけん秋のくれ	寒山落木　卷一
魂棚や何はあれとも白團子	寒山落木　卷一
烏帽子着て送火たくや白拍子	寒山落木　卷一
白菊の花でこさばや濁り酒	寒山落木　卷一
海原をちゞめよせたり鰯曳	寒山落木　卷一
一つづゝ波音ふくる夜寒哉	寒山落木　卷一
こちで引けばあちても引くや鳴子繩	寒山落木　卷一
八重葎そよぐと見しやけさの秋	寒山落木　卷一
かるく打つ砧の中のわらひ哉	寒山落木　卷一
行く秋の輕うなりたる木實哉	寒山落木　卷一
大文字をのぞいて出たり山の月	寒山落木　卷一
やぶ入の一日にしぼむ芙蓉哉	寒山落木　卷一
やぶ入や皆見覺えの木槿垣	寒山落木　卷一
案山子にも目鼻ありける浮世哉	寒山落木　卷一
乞食の葬禮見たり秋の暮	寒山落木　卷一
傘持のひんと立たりけさの秋	寒山落木　卷一
菅笠のくさりて落ちしかゞし哉	寒山落木　卷一
笠とれたあとはものうき案山子哉	寒山落木　卷一
秋天文地理	寒山落木　卷一
やせ馬の尾花恐るゝ野分哉	寒山落木　卷一
鯉はねたにごり沈むや秋の水	寒山落木　卷一
名月や彷彿としてつくは山	寒山落木　卷一
我宿の名月芋の露にあり	寒山落木　卷一
稻妻に目たゝきしたる坐頭哉	寒山落木　卷一
一ツ家のともしめくりて秋の風	寒山落木　卷一
すれてとび	寒山落木　卷一
初汐につれていでけり鶴一羽	寒山落木　卷一
初汐の空にたゞよふきほい哉	寒山落木　卷一
ひろがる	寒山落木　卷一
誰やらがかなしといひし月夜哉	寒山落木　卷一
琉球も蝦夷もはれたりけふの月	寒山落木　卷一
名月や田毎に月の五六十	寒山落木　卷一
稻妻や誰れが頭に碎け行く	寒山落木　卷一
稻つまや一筋白き棉ばたけ	寒山落木　卷一
初秋を京にて見たり三日の月	寒山落木　卷一
天の川淺瀬と見ゆる處もあり	寒山落木　卷一
伊豆までは落ちず消えけり天の河	寒山落木　卷一
富士川の石あらはなり初嵐	寒山落木　卷一
さりげなき野分の跡やふしの山	寒山落木　卷一
名月やどの松見ても松見ても	寒山落木　卷一
富士沼や小舟かちあふ初あらし	寒山落木　卷一
大空の眞ツたゞ中やけふの月	寒山落木　卷一
蜑か家や月に戸をさす清見潟	寒山落木　卷一
花娵の臼をころがす月夜哉	寒山落木　卷一
車道に堀り殘されて花野哉	寒山落木　卷一
一ひらの雲の行へや秋の山	寒山落木　卷一
撫し子のまた細りけり秋の風	寒山落木　卷一
粟の穗の折れも盡さす初嵐	寒山落木　卷一
秋風に目をさましけり合歡の花	寒山落木　卷一
いつしかに桑の葉黒し秋の風初しくれ	寒山落木　卷一
朝霧の富士を尊とく見する哉	寒山落木　卷一
秋風や崩れたつたる雲のみね	寒山落木　卷一
【農科大學の別科へ入門して林學を修むる虚空子へ遣はす】	寒山落木　卷一
松苗に行末ちぎる月見哉	寒山落木　卷一
【破蕉先生のもとに伺候して席上】	寒山落木　卷一
宵月やふすまにならぶ影法師	寒山落木　卷一
【二夜つゞきて破蕉先生のもとをおとづれて俳話猶つきず】	寒山落木　卷一
よひ／＼に月みちたらぬ思ひ哉	寒山落木　卷一
椽端や月に向いたる客あるじ	寒山落木　卷一
晴れ過ぎて月に哀はなかりけり	寒山落木　卷一
ありイ	寒山落木　卷一
秋風や都にすんでなく夜哉	寒山落木　卷一
新田や雨はなけれと芋の露	寒山落木　卷一
芋の露硯の海に湛へけり	寒山落木　卷一
一しきり露はら／＼の夕哉	寒山落木　卷一
吹きかへす萩の雨戸や露はら／＼	寒山落木　卷一
稻妻の壁つき通す光りかな	寒山落木　卷一
稻妻は雫の落る其間かな	寒山落木　卷一
【長命寺】	寒山落木　卷一
皀莢の風にからめく月夜哉	寒山落木　卷一
すゞみイ	寒山落木　卷一
いろ／＼の灯ともす舟の月見哉	寒山落木　卷一
萩薄思ひ／＼の野分哉	寒山落木　卷一
原へ出て目もあけられぬ野分哉	寒山落木　卷一
あれ馬のたて髮長き野分哉	寒山落木　卷一
吹きとつて雨さへふらぬ野分哉	寒山落木　卷一
から笠につられてありく野分哉	寒山落木　卷一
捨舟はかたよる海の野わき哉	寒山落木　卷一
からぐろの葉うつりするや露の玉	寒山落木　卷一
露の玉小牛の角をはしりけり	寒山落木　卷一
ほろ／＼と露の玉ちる夕哉	寒山落木　卷一
つぶ／＼と丸む力や露の玉	寒山落木　卷一
稻妻の消て不知火かすか也	寒山落木　卷一
芋の露われて半分は落にけり	寒山落木　卷一
白露の上に濁るや天の河	寒山落木　卷一
星一ツ飛んで音あり露の原	寒山落木　卷一
夕月に露ふりかける尾花哉	寒山落木　卷一
草の露こぼれてへりもせざりけり	寒山落木　卷一
芋の葉に月のころがる夜露哉	寒山落木　卷一
火葬場の灰におきけり夜の露	寒山落木　卷一
名月や露こしらへる芋の上	寒山落木　卷一
露いくつ絲瓜の尻に出あひけり	寒山落木　卷一
萩の露疊の上にこぼしけり	寒山落木　卷一
夜の露もえて音あり大文字	寒山落木　卷一
花火やむあとは露けき夜也けり	寒山落木　卷一
よもすがら露ちる土の凹みけり	寒山落木　卷一
かな	寒山落木　卷一
白露を見事にこぼす旭哉	寒山落木　卷一
稻妻に露のちる間もなかりけり	寒山落木　卷一
白露や蕣は世に長きもの	寒山落木　卷一
灯のちらり／＼通るや露の中	寒山落木　卷一
白露のうつくし過ぎて散にけり	寒山落木　卷一
仲國がすそごの袴露重し	寒山落木　卷一
白露やよごれて古き角やぐら	寒山落木　卷一
闇の空露すみのぼる光り哉	寒山落木　卷一
風吹て京も露けき夜也けり	寒山落木　卷一
白露の中にうつくし乞食小屋	寒山落木　卷一
露夜毎殺生石をあらひけり	寒山落木　卷一
佛像の眼やいれん露の玉	寒山落木　卷一
宵闇や露に引きずる狐の尾	寒山落木　卷一
色もなくて夜露の白さ哉	寒山落木　卷一
夕露に灰のつめたき野茶屋哉	寒山落木　卷一
一作掛茶屋の灰はつめたしきり／＼す	寒山落木　卷一
時頼が露の袈裟ほす焚火哉	寒山落木　卷一
魂棚の飯に露おくゆふべ哉	寒山落木　卷一
すてられた扇も露の宿り哉	寒山落木　卷一
白露の中に泣きけり祗王祗女	寒山落木　卷一
猪や一ふりふるふ朝の露	寒山落木　卷一
月のさす帆裏に露の通りけり	寒山落木　卷一
大佛やかたつらく朝の露	寒山落木　卷一
ふじは雲露にあけ行く裾野哉	寒山落木　卷一
白露の中に重る小鹿哉	寒山落木　卷一
目にさわるものなし月の隅田河	寒山落木　卷一
名月やうしろむいたる石佛我黒ノ句ニ名月に後むいたるかゝし哉	寒山落木　卷一
白露の中に乞食の鼾かな	寒山落木　卷一
十六夜の闇をこじきの焚火哉	寒山落木　卷一
かさの露動けは月のこぼれけり	寒山落木　卷一
秋風やらんふの笠も破れたり	寒山落木　卷一
陣笠に鶴の紋ありけふの月	寒山落木　卷一
笠いきて地上をはしる野分哉	寒山落木　卷一
秋風や京の大路の朱傘	寒山落木　卷一
つる／＼と笠をすへるや露の玉	寒山落木　卷一
朝霧や女と見えてたびの笠	寒山落木　卷一
【送錬卿赴兵庫〔二句〕】	寒山落木　卷一
聞きにゆけ須磨の隣の秋の風	寒山落木　卷一
秋の雲いよ／＼高く登りけり	寒山落木　卷一
露に泣き給ふ姿や市女笠	寒山落木　卷一
虚無僧の深あみ笠や盆の月	寒山落木　卷一
秋の雨兩天傘をなぶりけり	寒山落木　卷一
傘の端に三日月かゝる晴間哉	寒山落木　卷一
番傘のほつきと折れし野分哉	寒山落木　卷一
月蝕や笠きて出たる白拍子	寒山落木　卷一
傘の端のほのかに白し雨の月	寒山落木　卷一
光起が百鬼夜行く野分哉	寒山落木　卷一
松を隅に一天晴れたりけふの月	寒山落木　卷一
【画賛】	寒山落木　卷一
蛇の舌まだ赤し秋の風	寒山落木　卷一
塔一ツ霧より上に晴れにけり	寒山落木　卷一
はせを泣き蘇鐵は怒る野分哉	寒山落木　卷一
【李白画賛】	寒山落木　卷一
養老の月を李白にのませはや	寒山落木　卷一
【画賛】	寒山落木　卷一
骸骨の浮み出るや水の月	寒山落木　卷一
秋の雲太平洋を走りけり	寒山落木　卷一
ある月夜路通惟然に語るらく	寒山落木　卷一
乞食に妻も子もありけふの月	寒山落木　卷一
稻妻や乞食に明日の糧もなし	寒山落木　卷一
稻妻に寐返りしたる乞食哉	寒山落木　卷一
缺椀を叩く乞食の月見哉	寒山落木　卷一
獨り行膝行車や初嵐	寒山落木　卷一
名月や生れ落ちての薦被り	寒山落木　卷一
【留別】	寒山落木　卷一
月見んとふじに近よる一日つゝ	寒山落木　卷一
【留別】	寒山落木　卷一
名月を山でやほめん野でや見ん	寒山落木　卷一
【復五洲生文書後】	寒山落木　卷一
筆の穗のさゝけ出したり秋の風	寒山落木　卷一
【大磯松林舘〔四句〕】	寒山落木　卷一
犬つれて松原ありく月見哉	寒山落木　卷一
大磯の町出はなれし月見哉	寒山落木　卷一
名月や何やらうたふ海士か家	寒山落木　卷一
名月や誰やらありく浪の際	寒山落木　卷一
明月のうしろに高し箱根山	寒山落木　卷一
明月や山かけのぼる白うさぎ	寒山落木　卷一
明月の中に何やら踊りけり	寒山落木　卷一
塩汲の道月をこぼしけり	寒山落木　卷一
【盃画賛】	寒山落木　卷一
洗ひなは箔やはげなん秋の水	寒山落木　卷一
【大イソ松林舘〔四句〕】	寒山落木　卷一
名月やどちらを見ても松許り	寒山落木　卷一
待宵や夕餉の膳に松の月	寒山落木　卷一
月出んとして鳴りたつる海の音	寒山落木　卷一
待宵や出しぬかれたる月のてり	寒山落木　卷一
【大磯〔十三句〕】	寒山落木　卷一
明月を邪魔せぬ松のくねり哉	寒山落木　卷一
足元をすくふて行くや月の汐	寒山落木　卷一
明月や雄浪雌浪の打ち合せ	寒山落木　卷一
後しざりしながら戻る月見哉	寒山落木　卷一
名月や小牛のやうな沖の岩	寒山落木　卷一
待宵の晴れ過ぎて扨あした哉	寒山落木　卷一
名月や汐に追はるゝ磯傳ひ	寒山落木　卷一
明月やとびはなれたる星一ツ	寒山落木　卷一
明月の思ひきつたる光かな	寒山落木　卷一
明月や背中合せの松のあひ	寒山落木　卷一
沙濱に足くたびれる月見哉	寒山落木　卷一
寢ころんで椽に首出す月見哉	寒山落木　卷一
沙濱に打廣げけり月の汐	寒山落木　卷一
北へさゝぬばかりそけふの月	寒山落木　卷一
恐ろしき灘から出たりけふの月	寒山落木　卷一
